Transcript	DataBase.x	ProteinCode.x	ProteinName.x	DataBase.y	ProteinCode.y	ProteinName.y
TRINITY_DN22055_c0_g1_i1	sp	Q3T052	ITIH4_BOVIN	NA	NA	NA
TRINITY_DN22066_c0_g1_i3	sp	Q75N73	S39AE_MOUSE	NA	NA	NA
TRINITY_DN22067_c0_g1_i11	sp	P33450	FAT_DROME	NA	NA	NA
TRINITY_DN22067_c0_g1_i3	sp	P33450	FAT_DROME	NA	NA	NA
TRINITY_DN22067_c0_g1_i5	sp	Q6X862	PC11X_GORGO	NA	NA	NA
TRINITY_DN22067_c0_g2_i1	sp	Q9Y5H0	PCDG3_HUMAN	NA	NA	NA
TRINITY_DN22067_c1_g1_i1	sp	Q8TAB3	PCD19_HUMAN	NA	NA	NA
TRINITY_DN2207_c0_g1_i1	sp	Q96PB1	CASD1_HUMAN	NA	NA	NA
TRINITY_DN2207_c0_g1_i3	sp	Q96PB1	CASD1_HUMAN	NA	NA	NA
TRINITY_DN22076_c0_g1_i1	sp	Q9NWW7	CB042_HUMAN	NA	NA	NA
TRINITY_DN2208_c0_g1_i1	sp	Q5RDS2	SKAP2_PONAB	NA	NA	NA
TRINITY_DN22083_c1_g1_i7	sp	Q95YJ5	TXND3_CIOIN	NA	NA	NA
TRINITY_DN22083_c1_g1_i8	sp	Q95YJ5	TXND3_CIOIN	NA	NA	NA
TRINITY_DN22086_c0_g1_i1	sp	Q5SVQ0	KAT7_MOUSE	NA	NA	NA
TRINITY_DN22086_c0_g1_i2	sp	Q810T5	KAT7_RAT	NA	NA	NA
TRINITY_DN22087_c0_g1_i2	sp	P51522	ZNF83_HUMAN	NA	NA	NA
TRINITY_DN22087_c0_g1_i3	sp	P51522	ZNF83_HUMAN	NA	NA	NA
TRINITY_DN22087_c1_g1_i1	sp	Q8BI99	ZN879_MOUSE	NA	NA	NA
TRINITY_DN2209_c39_g1_i2	sp	P50163	TRN2_DATST	NA	NA	NA
TRINITY_DN2209_c39_g2_i1	sp	Q9X248	FABG_THEMA	NA	NA	NA
TRINITY_DN22097_c0_g1_i1	sp	Q91147	FGFR2_NOTVI	NA	NA	NA
TRINITY_DN22098_c0_g1_i1	sp	P08169	MPRI_BOVIN	NA	NA	NA
TRINITY_DN22098_c0_g1_i2	sp	P11717	MPRI_HUMAN	NA	NA	NA
TRINITY_DN22098_c0_g1_i6	sp	Q07113	MPRI_MOUSE	NA	NA	NA
TRINITY_DN22099_c0_g1_i1	sp	A6NK53	ZN233_HUMAN	NA	NA	NA
TRINITY_DN22103_c0_g1_i1	sp	B2B9A1	ATPO_RHIFE	NA	NA	NA
TRINITY_DN22104_c0_g1_i1	sp	O42254	IF2B1_CHICK	NA	NA	NA
TRINITY_DN22104_c0_g1_i4	sp	O42254	IF2B1_CHICK	NA	NA	NA
TRINITY_DN22104_c0_g1_i5	sp	O42254	IF2B1_CHICK	NA	NA	NA
TRINITY_DN22104_c0_g1_i6	sp	O42254	IF2B1_CHICK	NA	NA	NA
TRINITY_DN22106_c0_g1_i2	sp	P26632	EGR1_DANRE	NA	NA	NA
TRINITY_DN22106_c0_g1_i3	sp	Q8N143	BCL6B_HUMAN	NA	NA	NA
TRINITY_DN22106_c0_g1_i4	sp	Q8N8E2	ZN513_HUMAN	NA	NA	NA
TRINITY_DN22111_c2_g1_i1	sp	Q8CFJ7	S2545_MOUSE	NA	NA	NA
TRINITY_DN22113_c0_g1_i1	sp	Q7ZWY2	PIHD1_XENLA	NA	NA	NA
TRINITY_DN22113_c0_g1_i2	sp	Q7ZWY2	PIHD1_XENLA	NA	NA	NA
TRINITY_DN22115_c0_g1_i2	sp	P34693	SYT1_CAEEL	NA	NA	NA
TRINITY_DN22115_c0_g1_i4	sp	P41823	SY65_APLCA	NA	NA	NA
TRINITY_DN22116_c0_g1_i1	sp	Q1MTN8	ACL4_SCHPO	NA	NA	NA
TRINITY_DN2212_c0_g1_i1	sp	Q3V1T4	P3H1_MOUSE	NA	NA	NA
TRINITY_DN2212_c0_g1_i13	sp	Q9R1J8	P3H1_RAT	NA	NA	NA
TRINITY_DN2212_c0_g1_i4	sp	O75718	CRTAP_HUMAN	sp	P18583	SON_HUMAN
TRINITY_DN2212_c0_g1_i7	sp	O75718	CRTAP_HUMAN	NA	NA	NA
TRINITY_DN22129_c0_g1_i3	sp	Q6IRM9	ZWILC_XENLA	NA	NA	NA
TRINITY_DN2213_c0_g1_i1	sp	Q9C8Y1	CML23_ARATH	NA	NA	NA
TRINITY_DN2213_c0_g1_i3	sp	O82659	CML20_ARATH	NA	NA	NA
TRINITY_DN2213_c0_g1_i4	sp	Q84MN0	CML4_ORYSJ	NA	NA	NA
TRINITY_DN2213_c0_g1_i5	sp	P09485	LPS1A_LYTPI	NA	NA	NA
TRINITY_DN2213_c0_g1_i6	sp	Q84MN0	CML4_ORYSJ	NA	NA	NA
TRINITY_DN22132_c0_g1_i1	sp	A0A481NSZ4	BPI_SEBSC	NA	NA	NA
TRINITY_DN22133_c0_g1_i1	sp	P0C6Y7	PRDM9_RAT	NA	NA	NA
TRINITY_DN22139_c3_g1_i1	sp	Q94572	TBA3_HOMAM	NA	NA	NA
TRINITY_DN2214_c0_g1_i11	sp	Q5HY64	FA47C_HUMAN	NA	NA	NA
TRINITY_DN22141_c0_g1_i1	sp	Q5RFP4	OZF_PONAB	NA	NA	NA
TRINITY_DN22141_c0_g1_i2	sp	Q96EQ9	PRDM9_MOUSE	NA	NA	NA
TRINITY_DN22142_c0_g1_i4	sp	O75132	ZBED4_HUMAN	NA	NA	NA
TRINITY_DN22142_c0_g1_i6	sp	O75132	ZBED4_HUMAN	NA	NA	NA
TRINITY_DN22142_c0_g1_i9	sp	O75132	ZBED4_HUMAN	NA	NA	NA
TRINITY_DN22144_c0_g1_i2	sp	Q9QXF7	CP2J4_RAT	NA	NA	NA
TRINITY_DN22145_c0_g1_i1	sp	Q9ERU2	ZNF22_RAT	NA	NA	NA
TRINITY_DN22151_c0_g1_i1	sp	Q9Y5I3	PCDA1_HUMAN	NA	NA	NA
TRINITY_DN22151_c0_g2_i1	sp	Q6X862	PC11X_GORGO	NA	NA	NA
TRINITY_DN22151_c0_g3_i1	sp	Q6X862	PC11X_GORGO	NA	NA	NA
TRINITY_DN22151_c1_g1_i1	sp	Q91XY4	PCDG4_MOUSE	NA	NA	NA
TRINITY_DN22151_c1_g1_i3	sp	Q9Y5E5	PCDB4_HUMAN	NA	NA	NA
TRINITY_DN22151_c2_g1_i1	sp	Q5DRB3	PCDG7_PANTR	NA	NA	NA
TRINITY_DN22151_c2_g2_i1	sp	Q6X862	PC11X_GORGO	NA	NA	NA
TRINITY_DN22151_c2_g3_i1	sp	Q91Y11	PCDA9_MOUSE	NA	NA	NA
TRINITY_DN22151_c3_g1_i2	sp	Q5DRB3	PCDG7_PANTR	NA	NA	NA
TRINITY_DN22154_c0_g2_i7	sp	P34257	TC3A_CAEEL	NA	NA	NA
TRINITY_DN22156_c0_g3_i1	sp	Q32L00	ALKB3_BOVIN	NA	NA	NA
TRINITY_DN22156_c0_g3_i2	sp	Q32L00	ALKB3_BOVIN	NA	NA	NA
TRINITY_DN22156_c0_g3_i5	sp	Q8K1E6	ALKB3_MOUSE	NA	NA	NA
TRINITY_DN22158_c0_g1_i2	sp	Q54KD0	Y7407_DICDI	NA	NA	NA
TRINITY_DN2216_c0_g2_i1	sp	Q6PGN3	DCLK2_MOUSE	NA	NA	NA
TRINITY_DN2216_c0_g2_i2	sp	Q8N568	DCLK2_HUMAN	NA	NA	NA
TRINITY_DN22161_c1_g1_i4	sp	P79760	CP1A4_CHICK	NA	NA	NA
TRINITY_DN22164_c0_g2_i3	sp	Q53H47	SETMR_HUMAN	NA	NA	NA
TRINITY_DN22164_c0_g2_i4	sp	Q53H47	SETMR_HUMAN	NA	NA	NA
TRINITY_DN22165_c0_g1_i1	sp	Q91687	ITA4_XENLA	NA	NA	NA
TRINITY_DN2217_c0_g1_i1	sp	P54687	BCAT1_HUMAN	NA	NA	NA
TRINITY_DN22171_c2_g1_i1	sp	P21329	RTJK_DROFU	NA	NA	NA
TRINITY_DN22171_c4_g1_i1	sp	Q95SX7	RTBS_DROME	NA	NA	NA
TRINITY_DN22173_c0_g1_i1	sp	D3YXG0	HMCN1_MOUSE	NA	NA	NA
TRINITY_DN22177_c0_g1_i1	sp	F1MCA7	LRRC7_BOVIN	NA	NA	NA
TRINITY_DN22177_c0_g1_i4	sp	P70587	LRRC7_RAT	NA	NA	NA
TRINITY_DN22177_c0_g1_i7	sp	F1MCA7	LRRC7_BOVIN	NA	NA	NA
TRINITY_DN22178_c0_g1_i10	sp	Q7JQ32	GC76C_DROME	NA	NA	NA
TRINITY_DN22178_c0_g1_i17	sp	Q7JQ32	GC76C_DROME	NA	NA	NA
TRINITY_DN22179_c0_g2_i11	sp	Q7LHG5	YI31B_YEAST	sp	Q7LHG5	YI31B_YEAST
TRINITY_DN22179_c0_g2_i8	sp	Q7LHG5	YI31B_YEAST	sp	Q7LHG5	YI31B_YEAST
TRINITY_DN2218_c0_g1_i1	sp	Q8I4E2	LST4_CAEEL	NA	NA	NA
TRINITY_DN2218_c0_g1_i3	sp	Q6NRL2	SNX33_XENLA	NA	NA	NA
TRINITY_DN2218_c0_g1_i5	sp	Q8WV41	SNX33_HUMAN	NA	NA	NA
TRINITY_DN22184_c1_g1_i7	sp	Q18120	TWK18_CAEEL	NA	NA	NA
TRINITY_DN22199_c0_g1_i12	sp	Q60598	SRC8_MOUSE	NA	NA	NA
TRINITY_DN22199_c0_g1_i20	sp	Q60598	SRC8_MOUSE	NA	NA	NA
TRINITY_DN22199_c0_g1_i22	sp	P14317	HCLS1_HUMAN	NA	NA	NA
TRINITY_DN22199_c0_g1_i23	sp	Q60598	SRC8_MOUSE	NA	NA	NA
TRINITY_DN22199_c0_g1_i24	sp	P14317	HCLS1_HUMAN	NA	NA	NA
TRINITY_DN22199_c0_g1_i28	sp	Q60598	SRC8_MOUSE	NA	NA	NA
TRINITY_DN22199_c0_g1_i31	sp	Q60598	SRC8_MOUSE	NA	NA	NA
TRINITY_DN22199_c0_g1_i35	sp	Q60598	SRC8_MOUSE	NA	NA	NA
TRINITY_DN22199_c0_g1_i4	sp	P14317	HCLS1_HUMAN	NA	NA	NA
TRINITY_DN22199_c0_g1_i44	sp	P14317	HCLS1_HUMAN	NA	NA	NA
TRINITY_DN22199_c0_g1_i8	sp	Q60598	SRC8_MOUSE	NA	NA	NA
TRINITY_DN222_c1_g1_i1	sp	O00399	DCTN6_HUMAN	NA	NA	NA
TRINITY_DN222_c1_g1_i3	sp	O00399	DCTN6_HUMAN	NA	NA	NA
TRINITY_DN2220_c1_g1_i1	sp	P23820	REIS_TODPA	NA	NA	NA
TRINITY_DN2220_c1_g1_i2	sp	P23820	REIS_TODPA	NA	NA	NA
TRINITY_DN2220_c1_g1_i3	sp	P23820	REIS_TODPA	NA	NA	NA
TRINITY_DN2220_c1_g1_i4	sp	P23820	REIS_TODPA	NA	NA	NA
TRINITY_DN22200_c0_g1_i5	sp	Q96AQ1	CC74A_HUMAN	NA	NA	NA
TRINITY_DN22200_c0_g1_i7	sp	Q96AQ1	CC74A_HUMAN	NA	NA	NA
TRINITY_DN22202_c0_g1_i1	sp	Q803J8	ZC3HF_DANRE	NA	NA	NA
TRINITY_DN22208_c0_g1_i11	sp	Q5R416	CTNA2_PONAB	NA	NA	NA
TRINITY_DN22208_c0_g1_i7	sp	Q6GLP0	CTNA2_XENLA	NA	NA	NA
TRINITY_DN22208_c0_g1_i8	sp	B7ZC77	CTNA2_DANRE	NA	NA	NA
TRINITY_DN2221_c0_g1_i3	sp	Q3U3C9	GSE1_MOUSE	NA	NA	NA
TRINITY_DN2221_c0_g1_i4	sp	Q3U3C9	GSE1_MOUSE	NA	NA	NA
TRINITY_DN2221_c0_g1_i5	sp	Q3U3C9	GSE1_MOUSE	NA	NA	NA
TRINITY_DN2221_c2_g1_i2	sp	A7DTG3	SRTD4_MOUSE	NA	NA	NA
TRINITY_DN22217_c0_g1_i1	sp	Q8BJS8	MTBP_MOUSE	NA	NA	NA
TRINITY_DN22217_c0_g1_i2	sp	Q96DY7	MTBP_HUMAN	NA	NA	NA
TRINITY_DN2222_c0_g1_i1	sp	P55210	CASP7_HUMAN	NA	NA	NA
TRINITY_DN22221_c6_g1_i1	sp	Q4R4P4	FA2H_MACFA	NA	NA	NA
TRINITY_DN22225_c0_g8_i1	sp	Q61116	ZN235_MOUSE	NA	NA	NA
TRINITY_DN22226_c0_g1_i8	sp	Q25414	5HTR_LYMST	NA	NA	NA
TRINITY_DN22227_c0_g1_i3	sp	Q5BIZ0	MFD4A_XENTR	NA	NA	NA
TRINITY_DN22234_c1_g1_i1	sp	Q5RBG3	NSF1C_PONAB	NA	NA	NA
TRINITY_DN2224_c0_g1_i2	sp	O94818	NOL4_HUMAN	NA	NA	NA
TRINITY_DN2224_c0_g1_i3	sp	O94818	NOL4_HUMAN	NA	NA	NA
TRINITY_DN22246_c0_g1_i1	sp	Q6AY64	CF120_RAT	NA	NA	NA
TRINITY_DN22248_c0_g1_i1	sp	O09158	CP3AP_MOUSE	NA	NA	NA
TRINITY_DN2225_c0_g1_i1	sp	A2A8L1	CHD5_MOUSE	NA	NA	NA
TRINITY_DN2225_c0_g1_i12	sp	D3ZD32	CHD5_RAT	NA	NA	NA
TRINITY_DN2225_c0_g1_i8	sp	D3ZD32	CHD5_RAT	NA	NA	NA
TRINITY_DN2225_c0_g1_i9	sp	A2A8L1	CHD5_MOUSE	NA	NA	NA
TRINITY_DN2226_c0_g1_i1	sp	Q8R2N0	TAP26_MOUSE	NA	NA	NA
TRINITY_DN2226_c0_g1_i2	sp	Q8R2N0	TAP26_MOUSE	NA	NA	NA
TRINITY_DN2227_c0_g1_i1	sp	A2VCV0	OGRL1_XENTR	NA	NA	NA
TRINITY_DN22277_c0_g1_i2	sp	Q53H47	SETMR_HUMAN	NA	NA	NA
TRINITY_DN22277_c0_g1_i7	sp	Q53H47	SETMR_HUMAN	NA	NA	NA
TRINITY_DN22277_c3_g1_i1	sp	Q53H47	SETMR_HUMAN	NA	NA	NA
TRINITY_DN22277_c3_g1_i2	sp	Q53H47	SETMR_HUMAN	NA	NA	NA
TRINITY_DN2230_c0_g1_i1	sp	Q7QB13	CCNC_ANOGA	NA	NA	NA
TRINITY_DN2230_c0_g1_i4	sp	Q7QB13	CCNC_ANOGA	NA	NA	NA
TRINITY_DN2230_c0_g1_i8	sp	Q7QB13	CCNC_ANOGA	NA	NA	NA
TRINITY_DN22302_c0_g1_i1	sp	A0JNB1	ZN227_BOVIN	NA	NA	NA
TRINITY_DN22303_c0_g1_i1	sp	Q8IYI8	ZN440_HUMAN	NA	NA	NA
TRINITY_DN22303_c0_g1_i3	sp	Q8IYI8	ZN440_HUMAN	NA	NA	NA
TRINITY_DN2234_c0_g1_i1	sp	Q5RFL3	M3K7_PONAB	NA	NA	NA
TRINITY_DN2234_c0_g1_i3	sp	Q5RFL3	M3K7_PONAB	NA	NA	NA
TRINITY_DN2234_c0_g1_i4	sp	O43318	M3K7_HUMAN	NA	NA	NA
TRINITY_DN2234_c1_g1_i1	sp	P56945	BCAR1_HUMAN	NA	NA	NA
TRINITY_DN2234_c1_g1_i2	sp	Q63767	BCAR1_RAT	NA	NA	NA
TRINITY_DN2234_c1_g1_i7	sp	P56945	BCAR1_HUMAN	NA	NA	NA
TRINITY_DN2234_c1_g1_i9	sp	P56945	BCAR1_HUMAN	NA	NA	NA
TRINITY_DN2235_c0_g1_i1	sp	A6H584	CO6A5_MOUSE	NA	NA	NA
TRINITY_DN2235_c0_g1_i2	sp	A6H584	CO6A5_MOUSE	NA	NA	NA
TRINITY_DN2236_c0_g1_i1	sp	Q6DE55	HMHA1_XENLA	NA	NA	NA
TRINITY_DN2236_c0_g1_i5	sp	Q6DE55	HMHA1_XENLA	NA	NA	NA
TRINITY_DN2236_c0_g1_i6	sp	Q6DE55	HMHA1_XENLA	NA	NA	NA
TRINITY_DN2238_c0_g1_i1	sp	Q6IR74	CTL1_XENLA	NA	NA	NA
TRINITY_DN2239_c0_g2_i1	sp	Q62448	IF4G2_MOUSE	NA	NA	NA
TRINITY_DN224_c0_g1_i11	sp	Q7JQ07	MOS1T_DROMA	NA	NA	NA
TRINITY_DN224_c0_g1_i13	sp	Q53H47	SETMR_HUMAN	NA	NA	NA
TRINITY_DN224_c0_g1_i3	sp	Q7JQ07	MOS1T_DROMA	NA	NA	NA
TRINITY_DN224_c0_g1_i9	sp	Q7JQ07	MOS1T_DROMA	NA	NA	NA
TRINITY_DN224_c7_g1_i1	sp	Q3T1L0	A16A1_RAT	NA	NA	NA
TRINITY_DN22405_c0_g1_i2	sp	Q8BQN6	OZF_MOUSE	NA	NA	NA
TRINITY_DN22405_c0_g1_i3	sp	Q86WZ6	ZN227_HUMAN	NA	NA	NA
TRINITY_DN22405_c0_g1_i5	sp	P51522	ZNF83_HUMAN	NA	NA	NA
TRINITY_DN22405_c1_g1_i1	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN22405_c1_g2_i1	sp	Q80W31	ZN569_MOUSE	NA	NA	NA
TRINITY_DN22405_c2_g1_i1	sp	Q8BQN6	OZF_MOUSE	NA	NA	NA
TRINITY_DN22405_c3_g1_i1	sp	P18729	ZG57_XENLA	NA	NA	NA
TRINITY_DN22405_c4_g1_i1	sp	P51523	ZNF84_HUMAN	NA	NA	NA
TRINITY_DN22408_c0_g1_i1	sp	Q8Q0U0	Y045_METMA	NA	NA	NA
TRINITY_DN22408_c0_g1_i5	sp	Q8Q0U0	Y045_METMA	NA	NA	NA
TRINITY_DN22409_c0_g1_i3	sp	Q96JC4	ZN479_HUMAN	NA	NA	NA
TRINITY_DN22409_c0_g1_i4	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN22409_c0_g1_i5	sp	Q3ZCX4	ZN568_HUMAN	NA	NA	NA
TRINITY_DN2241_c0_g1_i1	sp	Q8BYU6	TOIP2_MOUSE	NA	NA	NA
TRINITY_DN2241_c0_g1_i3	sp	Q8NFQ8	TOIP2_HUMAN	NA	NA	NA
TRINITY_DN2241_c0_g1_i4	sp	Q8NFQ8	TOIP2_HUMAN	NA	NA	NA
TRINITY_DN22411_c0_g1_i1	sp	Q14590	ZN235_HUMAN	NA	NA	NA
TRINITY_DN22411_c0_g1_i3	sp	Q93560	BLMP1_CAEEL	NA	NA	NA
TRINITY_DN22413_c0_g1_i3	sp	Q7X809	PAO3_ORYSJ	NA	NA	NA
TRINITY_DN22413_c0_g1_i4	sp	O60341	KDM1A_HUMAN	NA	NA	NA
TRINITY_DN22413_c0_g3_i1	sp	F4JLS1	LDL3_ARATH	sp	F4JLS1	LDL3_ARATH
TRINITY_DN22414_c0_g1_i1	sp	Q6P2D0	ZFP1_HUMAN	sp	Q9NQV7	PRDM9_HUMAN
TRINITY_DN22414_c0_g1_i2	sp	Q80W31	ZN569_MOUSE	NA	NA	NA
TRINITY_DN22417_c0_g1_i1	sp	Q4R6C2	ZN383_MACFA	NA	NA	NA
TRINITY_DN22419_c0_g1_i1	sp	Q5MCW4	ZN569_HUMAN	NA	NA	NA
TRINITY_DN2242_c0_g1_i1	sp	Q9R049	AMFR_MOUSE	NA	NA	NA
TRINITY_DN2242_c0_g1_i5	sp	Q9R049	AMFR_MOUSE	NA	NA	NA
TRINITY_DN22420_c0_g1_i1	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN22420_c0_g1_i2	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN22420_c0_g2_i1	sp	Q3ZCX4	ZN568_HUMAN	NA	NA	NA
TRINITY_DN22420_c1_g1_i4	sp	Q13360	ZN177_HUMAN	NA	NA	NA
TRINITY_DN22420_c1_g2_i1	sp	P51523	ZNF84_HUMAN	NA	NA	NA
TRINITY_DN22420_c1_g2_i2	sp	P51523	ZNF84_HUMAN	NA	NA	NA
TRINITY_DN22421_c0_g1_i1	sp	Q96NI8	ZN570_HUMAN	NA	NA	NA
TRINITY_DN22421_c0_g1_i2	sp	B4DU55	ZN879_HUMAN	NA	NA	NA
TRINITY_DN22421_c0_g2_i1	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN22421_c1_g1_i1	sp	P10076	ZFP26_MOUSE	NA	NA	NA
TRINITY_DN22421_c2_g1_i1	sp	O15156	ZBT7B_HUMAN	NA	NA	NA
TRINITY_DN22427_c0_g1_i1	sp	Q8IYX0	ZN679_HUMAN	NA	NA	NA
TRINITY_DN22428_c0_g1_i4	sp	Q5DRB2	PCDG8_PANTR	NA	NA	NA
TRINITY_DN22428_c0_g1_i7	sp	Q5DRA3	PCDGL_PANTR	NA	NA	NA
TRINITY_DN2243_c0_g1_i5	sp	Q99315	YG31B_YEAST	sp	P03356	POL_MLVAV
TRINITY_DN22431_c0_g1_i1	sp	Q9UJW8	ZN180_HUMAN	NA	NA	NA
TRINITY_DN22431_c0_g2_i1	sp	Q96IR2	ZN845_HUMAN	NA	NA	NA
TRINITY_DN22431_c1_g1_i1	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN22431_c1_g1_i2	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN22431_c2_g1_i1	sp	Q96EQ9	PRDM9_MOUSE	NA	NA	NA
TRINITY_DN22434_c0_g1_i3	sp	P18729	ZG57_XENLA	NA	NA	NA
TRINITY_DN22434_c0_g1_i7	sp	P51523	ZNF84_HUMAN	NA	NA	NA
TRINITY_DN22434_c0_g1_i8	sp	Q3ZCX4	ZN568_HUMAN	NA	NA	NA
TRINITY_DN2244_c1_g1_i14	sp	Q9NBX4	RTXE_DROME	NA	NA	NA
TRINITY_DN2244_c1_g1_i8	sp	Q9NBX4	RTXE_DROME	NA	NA	NA
TRINITY_DN22440_c0_g2_i1	sp	P0C6Y7	PRDM9_RAT	NA	NA	NA
TRINITY_DN22440_c2_g1_i1	sp	Q9NQV7	PRDM9_HUMAN	NA	NA	NA
TRINITY_DN22441_c0_g1_i1	sp	P18737	ZG8_XENLA	NA	NA	NA
TRINITY_DN22441_c0_g1_i2	sp	P10076	ZFP26_MOUSE	NA	NA	NA
TRINITY_DN22441_c0_g2_i1	sp	Q8TC21	ZN596_HUMAN	NA	NA	NA
TRINITY_DN22441_c0_g2_i2	sp	Q4R6C2	ZN383_MACFA	NA	NA	NA
TRINITY_DN22441_c0_g3_i1	sp	Q96NI8	ZN570_HUMAN	NA	NA	NA
TRINITY_DN22441_c0_g4_i1	sp	Q8TF39	ZN483_HUMAN	NA	NA	NA
TRINITY_DN22441_c0_g5_i1	sp	Q5RFP4	OZF_PONAB	NA	NA	NA
TRINITY_DN22441_c1_g1_i1	sp	Q96MU6	ZN778_HUMAN	NA	NA	NA
TRINITY_DN22441_c3_g1_i1	sp	P0C6Y7	PRDM9_RAT	NA	NA	NA
TRINITY_DN22441_c4_g1_i2	sp	A6NK53	ZN233_HUMAN	NA	NA	NA
TRINITY_DN22441_c5_g1_i1	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN22441_c6_g1_i1	sp	Q8TC21	ZN596_HUMAN	NA	NA	NA
TRINITY_DN22441_c7_g1_i1	sp	Q80V23	ZNF32_MOUSE	sp	Q80V23	ZNF32_MOUSE
TRINITY_DN22444_c0_g1_i3	sp	P10394	POL4_DROME	sp	P10394	POL4_DROME
TRINITY_DN22444_c1_g1_i1	sp	P20825	POL2_DROME	NA	NA	NA
TRINITY_DN22449_c0_g1_i1	sp	Q4PJX1	ODR4_MOUSE	NA	NA	NA
TRINITY_DN22449_c0_g1_i2	sp	Q5SWX8	ODR4_HUMAN	NA	NA	NA
TRINITY_DN22450_c0_g1_i1	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN22452_c0_g1_i1	sp	Q9QXV3	ING1_MOUSE	NA	NA	NA
TRINITY_DN22453_c1_g1_i1	sp	Q9CRA8	EXOS5_MOUSE	NA	NA	NA
TRINITY_DN22455_c1_g1_i6	sp	P21328	RTJK_DROME	NA	NA	NA
TRINITY_DN22457_c0_g1_i1	sp	Q6X862	PC11X_GORGO	NA	NA	NA
TRINITY_DN22458_c0_g2_i1	sp	Q96NI8	ZN570_HUMAN	NA	NA	NA
TRINITY_DN22458_c0_g2_i5	sp	Q96NI8	ZN570_HUMAN	NA	NA	NA
TRINITY_DN22458_c0_g2_i7	sp	Q96PQ6	ZN317_HUMAN	NA	NA	NA
TRINITY_DN2246_c0_g1_i2	sp	Q6PGW3	ARMD3_DANRE	NA	NA	NA
TRINITY_DN2246_c0_g1_i4	sp	Q6PGW3	ARMD3_DANRE	NA	NA	NA
TRINITY_DN22468_c0_g2_i1	sp	P46939	UTRN_HUMAN	NA	NA	NA
TRINITY_DN22468_c0_g2_i2	sp	P46939	UTRN_HUMAN	NA	NA	NA
TRINITY_DN22468_c0_g2_i5	sp	P46939	UTRN_HUMAN	NA	NA	NA
TRINITY_DN22472_c0_g1_i1	sp	Q9NYT6	ZN226_HUMAN	NA	NA	NA
TRINITY_DN22472_c0_g1_i2	sp	Q9NYT6	ZN226_HUMAN	NA	NA	NA
TRINITY_DN22477_c0_g1_i2	sp	Q8BN82	S17A5_MOUSE	NA	NA	NA
TRINITY_DN22477_c0_g1_i6	sp	Q8BN82	S17A5_MOUSE	NA	NA	NA
TRINITY_DN22480_c2_g1_i1	sp	Q8VCZ3	THAP7_MOUSE	NA	NA	NA
TRINITY_DN22480_c2_g1_i2	sp	Q9BT49	THAP7_HUMAN	NA	NA	NA
TRINITY_DN22480_c2_g1_i3	sp	Q9BT49	THAP7_HUMAN	NA	NA	NA
TRINITY_DN22480_c2_g1_i5	sp	Q9BT49	THAP7_HUMAN	NA	NA	NA
TRINITY_DN22480_c2_g2_i1	sp	Q8VCZ3	THAP7_MOUSE	NA	NA	NA
TRINITY_DN22483_c1_g1_i1	sp	P39021	MEOX2_XENLA	NA	NA	NA
TRINITY_DN2249_c6_g1_i2	sp	P51617	IRAK1_HUMAN	NA	NA	NA
TRINITY_DN22493_c0_g1_i10	sp	P21328	RTJK_DROME	sp	P21328	RTJK_DROME
TRINITY_DN22493_c1_g2_i2	sp	P21328	RTJK_DROME	sp	P21328	RTJK_DROME
TRINITY_DN22493_c1_g2_i3	sp	P21329	RTJK_DROFU	NA	NA	NA
TRINITY_DN22493_c2_g1_i1	sp	P21329	RTJK_DROFU	NA	NA	NA
TRINITY_DN22493_c3_g1_i1	sp	P21328	RTJK_DROME	NA	NA	NA
TRINITY_DN225_c0_g1_i10	sp	P77735	YAJO_ECOLI	NA	NA	NA
TRINITY_DN225_c0_g1_i5	sp	P77735	YAJO_ECOLI	NA	NA	NA
TRINITY_DN22500_c0_g1_i1	sp	Q864U8	B3GN5_PIG	NA	NA	NA
TRINITY_DN22500_c0_g1_i2	sp	Q864U8	B3GN5_PIG	NA	NA	NA
TRINITY_DN22505_c0_g1_i1	sp	Q8HXX6	SAP3_MACFA	NA	NA	NA
TRINITY_DN22506_c0_g1_i5	sp	Q9UR07	TF211_SCHPO	NA	NA	NA
TRINITY_DN22512_c0_g3_i1	sp	Q6PBD4	HES4_XENTR	NA	NA	NA
TRINITY_DN22520_c0_g1_i1	sp	Q96NJ3	ZN285_HUMAN	NA	NA	NA
TRINITY_DN22521_c0_g1_i1	sp	Q9NXS2	QPCTL_HUMAN	NA	NA	NA
TRINITY_DN22524_c0_g1_i1	sp	P22315	HEMH_MOUSE	NA	NA	NA
TRINITY_DN22524_c0_g1_i3	sp	O42479	HEMH_CHICK	NA	NA	NA
